"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.0160552672868025,0.00702424413902932,0.00535548241769776,0.00316432782745988,0.00614598047061809,0.00709012695579167,0.00216773563621636,0.00596727859005995,0.00735331820336611,0.0107746628934855,0.00107685093671686,-0.00875102948452202,0.0113260145803048,0.00349034909275173,0.00937989796002937,0.00688256264044123,0.00109421856018998,0.000255098125161508
"point7.5.dentigerous.arm.base.resids",0.00702424413902932,0.00785835522033475,0.00589242543442798,0.00540136477258217,0.00593538824838827,0.00468443771318462,0.00217846666237548,0.00351969890303588,0.00551360287803153,0.00331076271019827,0.00328988267530868,0.00344683979109812,0.00816763579502805,0.00277217709222769,0.00235789691143642,0.00524005900002707,-0.00696451652314433,0.00150253421966762
"point1.2.lower.jaw.length.resids",0.00535548241769776,0.00589242543442798,0.00610136432511348,0.00388729247702303,0.00486997167632343,0.00395640378609943,0.00103609739439059,0.00359259092460202,0.0049848118107045,0.00363409705742775,0.00335353933056959,-0.000112954409091589,0.00573880205559015,0.00200583829010751,0.00176173280331092,0.00418410402316827,-0.00697782838647003,0.00142242352725475
"point8.9.dentigerous.arm.depth.resids",0.00316432782745988,0.00540136477258217,0.00388729247702303,0.00795667897902828,0.00363056142155699,0.00292934967885798,0.0017301273142907,0.00114039311226357,0.00354382046677845,-0.0018182459640436,0.00350478915125364,0.00377273095194397,0.00482900873333736,0.00142134804503898,0.000589183819323814,0.00317632381001001,-0.00436932397928168,-0.000101143246701311
"point2.11.palatine.height.resids",0.00614598047061809,0.00593538824838827,0.00486997167632343,0.00363056142155699,0.00624055670837378,0.00447755319831936,0.00200648327211071,0.00357130548111053,0.00441762734523114,0.00505653932782725,0.00136067361904353,-0.00290437449629721,0.00702103305553011,0.00199539285531829,0.00365144623780386,0.00520989073282849,-0.00429793777833441,2.38970783032545e-05
"point2.3.jaw.closing.inlever.resids",0.00709012695579167,0.00468443771318462,0.00395640378609943,0.00292934967885798,0.00447755319831936,0.00951903323471478,-0.000681862345533059,0.00449444772985653,0.00556432126046745,0.00574446711805764,0.00382548000060317,-0.00188952679990764,0.00655704979117577,0.00229307611152495,0.00124643713543526,0.00395300748619262,-0.00796577305741794,0.000532154295533525
"point15.16.cranial.height.resids",0.00216773563621636,0.00217846666237548,0.00103609739439059,0.0017301273142907,0.00200648327211071,-0.000681862345533059,0.00633269794794664,0.000940798669972103,0.000305575316588721,0.00205278668398867,-0.00138681463700666,0.00189048083638937,0.00384190201035383,0.00125457507310142,0.00283381792135717,0.00167367769175902,0.00199820851444343,-0.000373949871148578
"point14.15.orbit.diameter.resids",0.00596727859005995,0.00351969890303588,0.00359259092460202,0.00114039311226357,0.00357130548111053,0.00449444772985653,0.000940798669972103,0.00521903547699122,0.00349084623638707,0.00749562908153449,0.00137795225664032,-0.00320003672443844,0.00561534544776032,0.001997586619421,0.00241957955823638,0.00300919602071598,-0.00158162692662296,0.00113247311437052
"point2.18.suspensorium.length.resids",0.00735331820336611,0.00551360287803153,0.0049848118107045,0.00354382046677845,0.00441762734523114,0.00556432126046745,0.000305575316588721,0.00349084623638707,0.0107618928211763,0.00435480928890585,0.00479446358540064,-0.00113988955140529,0.00641509595958478,0.00327360267544727,0.00338448225267125,0.0047705933070153,-0.00427041186841301,0.000350919946503205
"point9.10.ascending.proess.length.resids",0.0107746628934855,0.00331076271019827,0.00363409705742775,-0.0018182459640436,0.00505653932782725,0.00574446711805764,0.00205278668398867,0.00749562908153449,0.00435480928890585,0.0333351572165859,-0.00158212740218976,-0.0174140985305161,0.00876702011084123,0.00319485300326085,0.0117015077131566,0.00546991737828671,-0.00878095477488647,0.00106308142782424
"point2.4.opening.inlever.resids",0.00107685093671686,0.00328988267530868,0.00335353933056959,0.00350478915125364,0.00136067361904353,0.00382548000060317,-0.00138681463700666,0.00137795225664032,0.00479446358540064,-0.00158212740218976,0.0201742600163169,0.00628066474189021,0.000494858958256973,0.000589359555563963,-0.00509465445571711,0.00152395929763205,-0.0122731702282909,0.00249449094816377
