"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.0293514982769058,0.0242909853158975,0.0209315656484475,0.0229751087903218,0.0237654791390323,0.0296876660247294,0.0132238528934511,0.0147980735786543,0.0197445784939705,0.0216701192067896,0.0298064068085455,0.015127891474947,0.0267950899005511,0.0184476171852807,0.0201261413386985,0.0239124598880432,0.0382263360517156,0.0177900184821204
"point7.5.dentigerous.arm.base.resids",0.0242909853158975,0.0240416906189912,0.0204336166967294,0.0217332866549232,0.0232123773096627,0.027593812522361,0.0128225448540463,0.0151841080419266,0.0196537296740465,0.0208453054052311,0.0278798645768085,0.0142970115035292,0.025216630302847,0.018772117134258,0.0192453522440761,0.0229584360963508,0.0340149384677081,0.0175269734922021
"point1.2.lower.jaw.length.resids",0.0209315656484475,0.0204336166967294,0.019679806295658,0.02018890529387,0.0204208397812964,0.0248907443997644,0.009956493366736,0.0136332365656088,0.018181334550985,0.0182238598755908,0.0284114034042676,0.0139577752794617,0.0216246731329829,0.0167213379091446,0.0168881738180627,0.0200970182095985,0.0294596274592087,0.0153518179128385
"point8.9.dentigerous.arm.depth.resids",0.0229751087903218,0.0217332866549232,0.02018890529387,0.0262484986956446,0.0213777820986172,0.0267041977047647,0.0109118131929838,0.0152402452441334,0.0188823641285536,0.0167793224223267,0.0304401335092187,0.0147600639914749,0.0228389065954045,0.0183154445117662,0.0183925676086551,0.0217796056173023,0.0305193557035808,0.0168594233124049
"point2.11.palatine.height.resids",0.0237654791390323,0.0232123773096627,0.0204208397812964,0.0213777820986172,0.0254846453310413,0.0294409083522004,0.0136417693054953,0.0149634786676966,0.0216493419326585,0.0213339272553894,0.0293210866760182,0.0137022718939785,0.0247784871629312,0.0193382866075442,0.0197511630219928,0.0243558205573993,0.0301597073031281,0.0178489531633172
"point2.3.jaw.closing.inlever.resids",0.0296876660247294,0.027593812522361,0.0248907443997644,0.0267041977047647,0.0294409083522004,0.038753659665128,0.0157041312624673,0.0178787160765503,0.0243048836181478,0.0254792782249743,0.0371018835980024,0.0180411890025393,0.0297775785991947,0.0228604528443846,0.0225824973729881,0.0284701842664281,0.0378490684386319,0.0209624653707788
"point15.16.cranial.height.resids",0.0132238528934511,0.0128225448540463,0.009956493366736,0.0109118131929838,0.0136417693054953,0.0157041312624673,0.0136021448454194,0.00803112820020465,0.0130936002714999,0.0130635777539558,0.0125458278854641,0.0044137754017518,0.0153336392819672,0.0115992022783137,0.0111331463381945,0.013511058078807,0.0126904810787727,0.00941854548501873
"point14.15.orbit.diameter.resids",0.0147980735786543,0.0151841080419266,0.0136332365656088,0.0152402452441334,0.0149634786676966,0.0178787160765503,0.00803112820020465,0.0121300394682641,0.0129261658145968,0.0127499022816965,0.020765580446164,0.00813786876034861,0.0160431380026114,0.0131460556321257,0.0117246616943369,0.0146310787777468,0.0165229496170302,0.0118891411113413
"point2.18.suspensorium.length.resids",0.0197445784939705,0.0196537296740465,0.018181334550985,0.0188823641285536,0.0216493419326585,0.0243048836181478,0.0130936002714999,0.0129261658145968,0.0331099062430482,0.0207831692379469,0.031877509262831,0.0136483733156802,0.0179660079432315,0.0208148745131734,0.0167263129250569,0.022085998931894,0.0245537689909144,0.0143773053470514
"point9.10.ascending.proess.length.resids",0.0216701192067896,0.0208453054052311,0.0182238598755908,0.0167793224223267,0.0213339272553894,0.0254792782249743,0.0130635777539558,0.0127499022816965,0.0207831692379469,0.0381083017420563,0.0234095993402109,0.00456958401621448,0.02201722056629,0.0163057447298118,0.020130007270345,0.0214161532574523,0.0271404212365655,0.0153826488624828
"point2.4.opening.inlever.resids",0.0298064068085455,0.0278798645768085,0.0284114034042676,0.0304401335092187,0.0293210866760182,0.0371018835980024,0.0125458278854641,0.020765580446164,0.031877509262831,0.0234095993402109,0.0633819325893428,0.0221060492204297,0.0303099600297669,0.0255798914328025,0.0223719776552623,0.0292462267994294,0.0346640705315567,0.021326061227757
"point12.19.nasal.tissue.protrusion.resids",0.015127891474947,0.0142970115035292,0.0139577752794617,0.0147600639914749,0.0137022718939785,0.0180411890025393,0.0044137754017518,0.00813786876034861,0.0136483733156802,0.00456958401621448,0.0221060492204297,0.0805175917484274,0.0119528399296687,0.0130146293568659,0.00437536893559181,0.0140479848986348,0.0347427607860909,0.0117000926126519
"point11.14.ectopterygoid.resids",0.0267950899005511,0.025216630302847,0.0216246731329829,0.0228389065954045,0.0247784871629312,0.0297775785991947,0.0153336392819672,0.0160431380026114,0.0179660079432315,0.02201722056629,0.0303099600297669,0.0119528399296687,0.041384593950152,0.0196633958485643,0.0201352621397875,0.023570893651958,0.0142097862203401,0.0175993512324123
"point16.18.head.depth.resids",0.0184476171852807,0.018772117134258,0.0167213379091446,0.0183154445117662,0.0193382866075442,0.0228604528443846,0.0115992022783137,0.0131460556321257,0.0208148745131734,0.0163057447298118,0.0255798914328025,0.0130146293568659,0.0196633958485643,0.0184074273509035,0.0146437180523795,0.0191732643179109,0.0193212692408323,0.0149372297812259
"point12.13.maxillary.head.protrusion.resids",0.0201261413386985,0.0192453522440761,0.0168881738180627,0.0183925676086551,0.0197511630219928,0.0225824973729881,0.0111331463381945,0.0117246616943369,0.0167263129250569,0.020130007270345,0.0223719776552623,0.00437536893559181,0.0201352621397875,0.0146437180523795,0.0305964049502285,0.019661658437017,0.0403663854905807,0.0153230775178085
"point6.11.maxilla.length.resids",0.0239124598880432,0.0229584360963508,0.0200970182095985,0.0217796056173023,0.0243558205573993,0.0284701842664281,0.013511058078807,0.0146310787777468,0.022085998931894,0.0214161532574523,0.0292462267994294,0.0140479848986348,0.023570893651958,0.0191732643179109,0.019661658437017,0.0245571228535799,0.0318272587887632,0.0177817908364988
"point11.13.maxillary.head.height.resids",0.0382263360517156,0.0340149384677081,0.0294596274592087,0.0305193557035808,0.0301597073031281,0.0378490684386319,0.0126904810787727,0.0165229496170302,0.0245537689909144,0.0271404212365655,0.0346640705315567,0.0347427607860909,0.0142097862203401,0.0193212692408323,0.0403663854905807,0.0318272587887632,0.212740595229467,0.0257417084622689
"point17.18.pelvic.girdle.length.resids",0.0177900184821204,0.0175269734922021,0.0153518179128385,0.0168594233124049,0.0178489531633172,0.0209624653707788,0.00941854548501873,0.0118891411113413,0.0143773053470514,0.0153826488624828,0.021326061227757,0.0117000926126519,0.0175993512324123,0.0149372297812259,0.0153230775178085,0.0177817908364988,0.0257417084622689,0.0187425751017097
