"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.0368178328464936,0.0209898646685838,0.0372718936866312,0.0225767424414985,0.0217817438184377,0.0156904738210668,0.00265233680139771,0.00453848339369222,0.00602673483702812,0.0144004584748251,-0.0116910448350812,-0.00258403496264621,0.00343908521168337,-0.000159338318828269,-0.0353858654868317,0.0215623473761014,0.00856645550227582,0.00753472913085438
"point7.5.dentigerous.arm.base.resids",0.0209898646685838,0.0378279973535203,0.0301164388012518,0.0164430786233379,0.019980812906797,0.0210113026229036,0.00337994305568563,0.00185897846190678,0.00797993651901724,0.0175189838396289,-0.00673843474862243,-0.0232564152552109,0.0088999680643492,0.000354019757821311,-0.0194796489163083,0.0184888609238211,-0.00682868619437222,0.00349585488514756
"point1.2.lower.jaw.length.resids",0.0372718936866312,0.0301164388012518,0.0469793195215775,0.0303885432997704,0.0272002779670548,0.0191120624337967,0.00145986531141447,0.00481556989537833,0.0106742221669243,0.0140151032706825,-0.00819551170687662,-0.0215890502174743,0.00482682972364568,-0.000338811340438703,-0.0443056973745118,0.025877074622951,0.00116491949358249,0.00548943151689181
"point8.9.dentigerous.arm.depth.resids",0.0225767424414985,0.0164430786233379,0.0303885432997704,0.0324446180747575,0.0170709253238532,0.0172896694807112,0.00492632334937011,0.00830174836830836,0.00582669823614076,0.000687983402216806,0.00144674490751174,-0.0143551673326242,0.00572336777281577,0.00587418633609151,-0.036288820218077,0.0159369191772627,0.00514499493340173,0.00963339675576422
"point2.11.palatine.height.resids",0.0217817438184377,0.019980812906797,0.0272002779670548,0.0170709253238532,0.0199363829209119,0.0133361143300203,0.00255408712116553,0.00248546855538213,0.0111874687171591,0.0106336578136984,-0.003199115050208,-0.0171593247464039,0.00673256414954218,0.00100447042805751,-0.0176317197828495,0.0182192969851206,0.00112265072267904,0.00255249327753693
"point2.3.jaw.closing.inlever.resids",0.0156904738210668,0.0210113026229036,0.0191120624337967,0.0172896694807112,0.0133361143300203,0.029565078286129,0.00561418445372776,0.00383224877768163,0.00757728598744563,0.006104838087569,-0.0015706832019601,-0.0149837853793243,0.0064419472898483,0.00409042609348792,-0.0213145149211121,0.0121020376278502,0.00858640409793415,0.0052079995798264
"point15.16.cranial.height.resids",0.00265233680139771,0.00337994305568563,0.00145986531141447,0.00492632334937011,0.00255408712116553,0.00561418445372776,0.0156780947729188,0.00555902927292648,-0.0021371443640287,0.00470787838869102,-0.000720571985712491,0.00422409352633753,0.00634349731988112,0.00806949223015811,0.00808829795702778,0.00304946241592696,0.0115052538099378,0.00558797935767092
"point14.15.orbit.diameter.resids",0.00453848339369222,0.00185897846190678,0.00481556989537833,0.00830174836830836,0.00248546855538213,0.00383224877768163,0.00555902927292648,0.00841930200146097,-0.000465221767352281,0.00197880380996549,0.00247854335319147,-0.00273355372283684,0.0067200590803921,0.0066638111232093,-0.000884487918142659,0.00221617182417962,0.00482558462588047,0.00809799335356945
"point2.18.suspensorium.length.resids",0.00602673483702812,0.00797993651901724,0.0106742221669243,0.00582669823614076,0.0111874687171591,0.00757728598744563,-0.0021371443640287,-0.000465221767352281,0.0209731373697573,0.00400780939674208,0.0119247756203685,-0.024727588689481,0.00437557335981539,0.00057506669469361,0.00201876216217993,0.00960737182002331,0.000463694203984881,-0.00996762562912892
"point9.10.ascending.proess.length.resids",0.0144004584748251,0.0175189838396289,0.0140151032706825,0.000687983402216806,0.0106336578136984,0.006104838087569,0.00470787838869102,0.00197880380996549,0.00400780939674208,0.0520710708728129,-0.0125691233120454,-0.020966320770955,0.00155618912324481,0.00194046342931403,0.0105336114326992,0.0118920985294651,-0.0177937886328237,0.00461759164679375
"point2.4.opening.inlever.resids",-0.0116910448350812,-0.00673843474862243,-0.00819551170687662,0.00144674490751174,-0.003199115050208,-0.0015706832019601,-0.000720571985712491,0.00247854335319147,0.0119247756203685,-0.0125691233120454,0.0701523331545527,-0.0252762778463245,0.0134705801060428,0.00408320341098806,0.0287417643002802,-0.00234987656606345,-0.037608739416705,-0.00304245478648602
"point12.19.nasal.tissue.protrusion.resids",-0.00258403496264621,-0.0232564152552109,-0.0215890502174743,-0.0143551673326242,-0.0171593247464039,-0.0149837853793243,0.00422409352633753,-0.00273355372283684,-0.024727588689481,-0.020966320770955,-0.0252762778463245,0.203883078864316,-0.0117681237112485,-8.83450730769071e-05,6.91716713520028e-05,-0.0127450948554824,0.0553352544791738,0.00677745050452939
"point11.14.ectopterygoid.resids",0.00343908521168337,0.0088999680643492,0.00482682972364568,0.00572336777281577,0.00673256414954218,0.0064419472898483,0.00634349731988112,0.0067200590803921,0.00437557335981539,0.00155618912324481,0.0134705801060428,-0.0117681237112485,0.0278775233938985,0.00693912012329578,0.0125007173937245,0.00559209605761984,0.00136780065956174,0.00124363232405172
"point16.18.head.depth.resids",-0.000159338318828269,0.000354019757821311,-0.000338811340438703,0.00587418633609151,0.00100447042805751,0.00409042609348792,0.00806949223015811,0.0066638111232093,0.00057506669469361,0.00194046342931403,0.00408320341098806,-8.83450730769071e-05,0.00693912012329578,0.00827483476978205,0.00646390815503653,0.000955542949327575,0.00437573556276405,0.00598971903790839
