"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.00535927415435128,0.00390459044885829,0.00402980189561525,0.00283288858935317,0.0031519658118451,0.00200733083737455,0.00259714450379201,0.00191054991226072,0.00103201348484921,0.0025172793540269,0.000793581316323275,0.000719944638012673,0.00257871706427497,0.00162522582312784,0.00223734511093094,0.00356860721377195,0.00700685207610399,0.00204093821848738
"point7.5.dentigerous.arm.base.resids",0.00390459044885829,0.00544236931019092,0.00258654160411815,0.00192119849581372,0.00238168975582543,0.00190923265636004,0.00260710505216857,0.00103260938730923,0.000926285108867746,0.00319091348962138,0.00149457400735755,0.00125685094788434,0.00257760052747371,0.00176367417454378,0.00218508029431903,0.00267986007881711,0.00563977873178913,0.00177030430091695
"point1.2.lower.jaw.length.resids",0.00402980189561525,0.00258654160411815,0.0043664421846258,0.00327286640365716,0.00249997258710372,0.00180143417233956,0.000843849600062742,0.00218815426246483,0.00110240637464941,0.000724231653422494,0.00185620814401646,0.00177053496021325,0.00287084523396477,0.00120341855490518,0.00149353312027515,0.00267927254639913,0.00458219536306235,0.00211385449924808
"point8.9.dentigerous.arm.depth.resids",0.00283288858935317,0.00192119849581372,0.00327286640365716,0.00584115601872655,0.00208668810946002,0.00182533224772633,-0.000245637988619522,0.00205329675761079,0.00129125169922556,-0.00189304482133435,0.00159175227820788,0.00153994141868106,0.00281097996421706,0.0011743686373165,0.00238611459729372,0.00239274219574133,0.00364979683637663,0.00217461982734897
"point2.11.palatine.height.resids",0.0031519658118451,0.00238168975582543,0.00249997258710372,0.00208668810946002,0.00419857587487711,0.00236767462838753,0.0023614351659097,0.00126543754855501,0.000849891349627759,0.001865932183904,0.000400218125136375,0.00250329742318414,0.00212184891275052,0.0020774642129959,0.00252617857640013,0.00372906366539725,0.00322707610781258,0.00143364582517925
"point2.3.jaw.closing.inlever.resids",0.00200733083737455,0.00190923265636004,0.00180143417233956,0.00182533224772633,0.00236767462838753,0.00520220823672212,0.00116047112461295,0.000927786434794315,0.000974963981167681,7.49542521232211e-05,0.00225305798043666,0.000529691289529288,0.00124828317515677,0.00139960742924915,0.00196096694000224,0.00246879983199323,0.00179797456332261,0.000883507125603462
"point15.16.cranial.height.resids",0.00259714450379201,0.00260710505216857,0.000843849600062742,-0.000245637988619522,0.0023614351659097,0.00116047112461295,0.00678757742955697,2.49769898004796e-05,0.000206227111010137,0.00266676220768986,-0.000103451296430073,-0.000408332527215267,0.000704627351632566,0.00262865402940301,0.00238453839181055,0.00231167326926882,0.0076876753872224,0.00143696350431447
"point14.15.orbit.diameter.resids",0.00191054991226072,0.00103260938730923,0.00218815426246483,0.00205329675761079,0.00126543754855501,0.000927786434794315,2.49769898004796e-05,0.00277536619869872,0.0011865274423193,-0.000623414375924039,0.00122871452621388,0.000277264661575477,0.00180596962699587,0.000783568061105717,0.000830626278955259,0.00139000656810269,0.00121025617363329,0.0016645892923697
"point2.18.suspensorium.length.resids",0.00103201348484921,0.000926285108867746,0.00110240637464941,0.00129125169922556,0.000849891349627759,0.000974963981167681,0.000206227111010137,0.0011865274423193,0.00373997837156416,0.000126862926008876,0.0019432512991475,0.00122458481587102,0.000959324262821049,0.00145158986939288,0.000957606305229778,0.00116768975538148,0.000976010685690784,-0.000167509418676181
"point9.10.ascending.proess.length.resids",0.0025172793540269,0.00319091348962138,0.000724231653422494,-0.00189304482133435,0.001865932183904,7.49542521232211e-05,0.00266676220768986,-0.000623414375924039,0.000126862926008876,0.0232296768743897,-0.00132421234434386,0.00607590602144557,-0.000757035730580868,0.00106432407907815,0.00212149130334043,0.00175384988357494,0.00518260975324676,-0.0016915507457137
