"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.0221579859068682,-0.0138879167915082,0.0125275386710634,0.019265825985645,-0.000585853307171576,0.009628356856764,0.00447665195425552,0.016266614976129,-0.0102428869665593,-0.00515123080992387,-0.0560643206779888,0.0341189165142956,-0.00902255301659157,0.00941950626672331,-0.057830188096882,-0.00131491798122575,0.0796028690859865,0.0211220136663672
"point7.5.dentigerous.arm.base.resids",-0.0138879167915082,0.0109514583315268,-0.00890871018480564,-0.0151820183516707,-4.30204299013529e-05,-0.00816569421878656,-0.000788952504209163,-0.0111664291043542,0.00617002162509408,0.00317542012444903,0.0311232563276265,-0.0224073736270894,0.00492163170424638,-0.00689421970021737,0.0423453993540485,0.00117903466680559,-0.0304958550289393,-0.0125869298723013
"point1.2.lower.jaw.length.resids",0.0125275386710634,-0.00890871018480564,0.00760410062037092,0.0124446246176424,-0.000143449134848303,0.00648260229643923,0.00144318107271399,0.00960850010655145,-0.00532113527416678,-0.00242139178229122,-0.0295113055842199,0.0188940490116202,-0.00530319960242545,0.0058562585686421,-0.0355501569647754,-0.000884906205897152,0.0353989259351249,0.0117649053759368
"point8.9.dentigerous.arm.depth.resids",0.019265825985645,-0.0151820183516707,0.0124446246176424,0.0214944598793175,0.000188859714606257,0.0116375422283268,0.00116364291236649,0.0148652839847582,-0.00677911057933328,-0.00214332839304287,-0.0426373267149291,0.0272632436863404,-0.00989444150206671,0.00991945289280519,-0.0576290299893675,-0.00131165971820914,0.0418991976878815,0.0176775680777001
"point2.11.palatine.height.resids",-0.000585853307171576,-4.30204299013529e-05,-0.000143449134848303,0.000188859714606257,0.000303325500250894,0.000383005404346314,0.000361963840376589,-0.000880436631974522,0.000890753470523241,0.000773741704380172,0.00136834722291984,-0.00127637971419373,-0.00093927673154689,8.25853016179899e-05,0.00186703732887681,0.000284328274778473,-0.00368881703266958,-0.00108811519894841
"point2.3.jaw.closing.inlever.resids",0.009628356856764,-0.00816569421878656,0.00648260229643923,0.0116375422283268,0.000383005404346314,0.00657044880178934,0.000813079892474826,0.00715027603334446,-0.00289543028698675,-0.000603778612350405,-0.0210526518962672,0.0135653079833256,-0.00578023398717151,0.0053296619203599,-0.0291317058123666,-0.0004825446404851,0.017707904978437,0.00829248848191742
"point15.16.cranial.height.resids",0.00447665195425552,-0.000788952504209163,0.00144318107271399,0.00116364291236649,0.000361963840376589,0.000813079892474826,0.00667825483619677,0.000209277031609279,-0.00180392897916232,-0.000949454494690658,-0.0196650439100611,0.00811244339778255,-0.00486569066525109,0.0012784686855876,-0.000667958419377474,0.00114317183577387,0.0434308945892732,0.00262843569746926
"point14.15.orbit.diameter.resids",0.016266614976129,-0.0111664291043542,0.00960850010655145,0.0148652839847582,-0.000880436631974522,0.00715027603334446,0.000209277031609279,0.0143610124846061,-0.0100168178120189,-0.00680782866526191,-0.0376142015017917,0.0293613525132474,-0.000998423569765317,0.00672769862937679,-0.0494916346866122,-0.0021275439558889,0.0453732446027143,0.0161368677773654
"point2.18.suspensorium.length.resids",-0.0102428869665593,0.00617002162509408,-0.00532113527416678,-0.00677911057933328,0.000890753470523241,-0.00289543028698675,-0.00180392897916232,-0.0100168178120189,0.0118681209762272,0.0113791999333461,0.0282721637556713,-0.0306791929025441,-0.00806588454054435,-0.0027974708588809,0.03072022591362,0.00191764703155391,-0.0402868243141584,-0.00912953109934381
"point9.10.ascending.proess.length.resids",-0.00515123080992387,0.00317542012444903,-0.00242139178229122,-0.00214332839304287,0.000773741704380172,-0.000603778612350405,-0.000949454494690658,-0.00680782866526191,0.0113791999333461,0.0126372798704846,0.0161397526889275,-0.0273051706869978,-0.0132863062315622,-0.000355676007285414,0.0185656390011344,0.00188280570454628,-0.0218779189688772,-0.00375312498212813
