"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.00432477260020381,0.00333565178725724,0.00416993084738611,0.00246111631050992,0.00172877231162587,0.00158206980954157,-0.0014539027569583,0.00535941385274825,0.00596042930031407,0.00808224175253857,0.00462817343029396,-0.00960593366525791,0.00831938741310051,0.00284311553368687,0.00686672613475426,0.000666212208700998,-0.00838743328674019,-0.00405771280778571
"point7.5.dentigerous.arm.base.resids",0.00333565178725724,0.00640100978188033,0.00733000167300596,0.00599836035208386,0.00299187089899292,0.00523885005456982,0.00117013351817534,0.00401716530774075,0.0019979888915941,-0.0022025305442968,0.00461429291855053,0.0092676411478241,0.0132432805542356,0.00394252950409548,0.00656158964909612,0.000782412146630696,-0.00768175948994172,0.00025303244883177
"point1.2.lower.jaw.length.resids",0.00416993084738611,0.00733000167300596,0.00844154241952795,0.00674543239968982,0.00344138175733779,0.00581755216391001,0.00102554964125553,0.00504258340633402,0.00297078118467511,-0.00125798664987298,0.00555757100271091,0.00868331653934082,0.0153665159408299,0.00461091941977896,0.00798476501498781,0.000928214928893579,-0.00939842864363921,-0.000344834105687465
"point8.9.dentigerous.arm.depth.resids",0.00246111631050992,0.00599836035208386,0.00674543239968982,0.0093456326041324,0.00357450499380104,0.00798525478293636,0.00534299969761488,0.00289989207706062,-0.00117878346365981,-0.00598747774116317,0.00666418638552926,0.00974769918940658,0.0110674928920112,0.00461250566447974,0.00482126861937284,0.000958012462022904,-0.00519813594406628,0.00846491334041483
"point2.11.palatine.height.resids",0.00172877231162587,0.00299187089899292,0.00344138175733779,0.00357450499380104,0.00159619786679821,0.00301068987205527,0.00126320296110637,0.00208610346474564,0.000847048468696349,-0.000779574361774728,0.00296987769047754,0.00277826277164221,0.00605881643938756,0.00215131694323172,0.00319185643623769,0.000449406655135788,-0.00367787860496259,0.00148230838380882
"point2.3.jaw.closing.inlever.resids",0.00158206980954157,0.00523885005456982,0.00581755216391001,0.00798525478293636,0.00301068987205527,0.00697335406206759,0.00478158331181,0.00181851627196232,-0.00194635416326784,-0.00711323864168648,0.00506804660052784,0.011920691365678,0.00944390214422016,0.00375365953871732,0.00349464662660634,0.000753543869970361,-0.00365749718105855,0.00766250481408839
"point15.16.cranial.height.resids",-0.0014539027569583,0.00117013351817534,0.00102554964125553,0.00534299969761488,0.00126320296110637,0.00478158331181,0.00574633001977345,-0.00189785738116347,-0.00542815067773745,-0.00938922501408842,0.00211400921770694,0.0104439353206878,0.000266480875369129,0.00126335334360193,-0.00201284318128847,0.000241344453108675,0.00300742691825741,0.0108667665833344
"point14.15.orbit.diameter.resids",0.00535941385274825,0.00401716530774075,0.00504258340633402,0.00289989207706062,0.00208610346474564,0.00181851627196232,-0.00189785738116347,0.00664530279677113,0.00747816666141568,0.0102835430876084,0.00568292817399519,-0.0123926890034623,0.0101088983472001,0.00346208801648292,0.00847412628540441,0.000815352655737147,-0.010363315133057,-0.00518219817895684
"point2.18.suspensorium.length.resids",0.00596042930031407,0.0019979888915941,0.00297078118467511,-0.00117878346365981,0.000847048468696349,-0.00194635416326784,-0.00542815067773745,0.00747816666141568,0.0108779487448035,0.0176469889413834,0.00420531977610706,-0.023230860813525,0.00732273513162674,0.00216697331669557,0.0088266979816039,0.00058938719468261,-0.0111755919013998,-0.0114847808374953
"point9.10.ascending.proess.length.resids",0.00808224175253857,-0.0022025305442968,-0.00125798664987298,-0.00598747774116317,-0.000779574361774728,-0.00711323864168648,-0.00938922501408842,0.0102835430876084,0.0176469889413834,0.0343725413630109,0.00507608399269499,-0.0535463181224727,0.000930825450439489,0.000968331228428184,0.0102370603919247,0.000526040695403927,-0.0133838278993454,-0.0181595520899612
"point2.4.opening.inlever.resids",0.00462817343029396,0.00461429291855053,0.00555757100271091,0.00666418638552926,0.00296987769047754,0.00506804660052784,0.00211400921770694,0.00568292817399519,0.00420531977610706,0.00507608399269499,0.00762337421040754,-0.00789768003431432,0.00996432825862286,0.00443814905626349,0.00733191584209213,0.00102485230400439,-0.00859094167698641,0.00243956844126294
"point12.19.nasal.tissue.protrusion.resids",-0.00960593366525791,0.0092676411478241,0.00868331653934082,0.00974769918940658,0.00277826277164221,0.011920691365678,0.0104439353206878,-0.0123926890034623,-0.023230860813525,-0.0535463181224727,-0.00789768003431432,0.0959536937495262,0.0119880979794747,0.000472283206224336,-0.00941094085405117,-0.000526722531790221,0.0126965994149368,0.0184225287323611
"point11.14.ectopterygoid.resids",0.00831938741310051,0.0132432805542356,0.0153665159408299,0.0110674928920112,0.00605881643938756,0.00944390214422016,0.000266480875369129,0.0101088983472001,0.00732273513162674,0.000930825450439489,0.00996432825862286,0.0119880979794747,0.0284463409546076,0.00828072984552513,0.0155872178150308,0.00168030950948331,-0.0185374347148978,-0.00374211640303725
"point16.18.head.depth.resids",0.00284311553368687,0.00394252950409548,0.00461091941977896,0.00461250566447974,0.00215131694323172,0.00375365953871732,0.00126335334360193,0.00346208801648292,0.00216697331669557,0.000968331228428184,0.00443814905626349,0.000472283206224336,0.00828072984552513,0.00302211855588783,0.00495325758612776,0.00065255750577575,-0.00579263043770966,0.001133506386047
"point12.13.maxillary.head.protrusion.resids",0.00686672613475426,0.00656158964909612,0.00798476501498781,0.00482126861937284,0.00319185643623769,0.00349464662660634,-0.00201284318128847,0.00847412628540441,0.0088266979816039,0.0102370603919247,0.00733191584209213,-0.00941094085405117,0.0155872178150308,0.00495325758612776,0.0113758723175316,0.00111036650807144,-0.0138266586700399,-0.006213276562544
"point6.11.maxilla.length.resids",0.000666212208700998,0.000782412146630696,0.000928214928893579,0.000958012462022904,0.000449406655135788,0.000753543869970361,0.000241344453108675,0.000815352655737147,0.00058938719468261,0.000526040695403927,0.00102485230400439,-0.000526722531790221,0.00168030950948331,0.00065255750577575,0.00111036650807144,0.000145337201938901,-0.00130551712458611,0.000198302273880336
"point11.13.maxillary.head.height.resids",-0.00838743328674019,-0.00768175948994172,-0.00939842864363921,-0.00519813594406628,-0.00367787860496259,-0.00365749718105855,0.00300742691825741,-0.010363315133057,-0.0111755919013998,-0.0133838278993454,-0.00859094167698641,0.0126965994149368,-0.0185374347148978,-0.00579263043770966,-0.0138266586700399,-0.00130551712458611,0.0168654191010709,0.00855606862006438
"point17.18.pelvic.girdle.length.resids",-0.00405771280778571,0.00025303244883177,-0.000344834105687465,0.00846491334041483,0.00148230838380882,0.00766250481408839,0.0108667665833344,-0.00518219817895684,-0.0114847808374953,-0.0181595520899612,0.00243956844126294,0.0184225287323611,-0.00374211640303725,0.001133506386047,-0.006213276562544,0.000198302273880336,0.00855606862006438,0.0211860869832462
