"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.024002661124306,-0.00967967747850703,0.00960433658580028,-0.00436879088641405,0.00261358177239021,-0.00869358135848698,0.00123173177083039,-0.00401193880572682,-0.00300728378029186,0.00439544458929858,-0.0004388292469584,0.0298835040823444,-0.00568352824619025,-0.00435718936980315,-0.00127301658792032,0.00651443370144101,0.0260027125847431,-0.00630611382003441
"point7.5.dentigerous.arm.base.resids",-0.00967967747850703,0.0513441181391327,-0.00279050063168015,-0.0026524170000626,0.000592096852163403,0.0494951611941215,0.0131671416487385,0.00121175204520581,0.000884919493253485,0.000735642426036792,-0.0157133137145571,-0.0217777355930334,0.000320674070167188,0.00686024272263218,-0.00388078736152446,-0.000984920870226629,0.010276278563855,0.0062630744000915
"point1.2.lower.jaw.length.resids",0.00960433658580028,-0.00279050063168015,0.00906670488009079,0.0068609259491934,0.00200362702461311,-0.00898486396974769,0.000818970955573957,0.000127697997226451,-0.00233397769706742,-0.00552534419034671,0.0099185259211859,0.00554867607003613,-0.00160713065243469,-0.000132237440297428,-0.00865667474951123,0.00397061582734719,0.00878815452899077,0.00163539549855655
"point8.9.dentigerous.arm.depth.resids",-0.00436879088641405,-0.0026524170000626,0.0068609259491934,0.0234046518154972,0.000344303253658321,-0.00403658841147912,0.000672121618594374,0.00238177752579035,-0.0012418786790172,-0.0208752672285234,0.0337808983251446,0.00206339032618946,0.00817648484848447,0.00409319238498343,-0.0258739207369691,0.00285038329003957,-0.00852068072000049,0.00747526899565259
"point2.11.palatine.height.resids",0.00261358177239021,0.000592096852163403,0.00200362702461311,0.000344303253658321,0.00327255954425722,-0.00378291465779632,0.00295534317652143,-0.00107330921546448,0.00222177028423069,0.00873523393983828,-0.0108206421256439,-0.00188033699276859,-0.00393504338636159,0.00096102521786733,0.0044005287595165,0.00299161251724897,0.00105124904478114,-0.000814696967135036
"point2.3.jaw.closing.inlever.resids",-0.00869358135848698,0.0494951611941215,-0.00898486396974769,-0.00403658841147912,-0.00378291465779632,0.0750108590338441,0.0118653371957689,-0.00433230406108717,-0.00165328145429815,-0.00639694877904904,-0.00207889588573962,0.00762058908550059,-0.00135530219792771,0.00260883236692836,-0.0243874533929772,-0.00198645900550873,0.0122093000076694,0.00543207711397524
"point15.16.cranial.height.resids",0.00123173177083039,0.0131671416487385,0.000818970955573957,0.000672121618594374,0.00295534317652143,0.0118653371957689,0.0072839514916287,-0.00083755694455911,0.00269357880704178,0.00655905528807117,-0.00978757502033853,0.00225945388998139,0.00119677401936127,0.00338966750723566,0.00246309924005759,0.00333444803481926,0.00763026951463733,-0.00123586850065306
"point14.15.orbit.diameter.resids",-0.00401193880572682,0.00121175204520581,0.000127697997226451,0.00238177752579035,-0.00107330921546448,-0.00433230406108717,-0.00083755694455911,0.00622799752023535,-0.000298386685847065,-0.00688736290501138,0.00555614859217267,-0.0110381995135234,0.0078070094418568,0.00263575157501317,0.00362176598235826,-0.00209573165229244,0.00831524944410658,0.00605423435790677
"point2.18.suspensorium.length.resids",-0.00300728378029186,0.000884919493253485,-0.00233397769706742,-0.0012418786790172,0.00222177028423069,-0.00165328145429815,0.00269357880704178,-0.000298386685847065,0.00383464586230894,0.00959958375725661,-0.012273934032055,-0.00336102134372865,0.000845217179467786,0.00207005215005592,0.009864166031988,0.00109548481152021,-0.00388374145852708,-0.00256168504894685
"point9.10.ascending.proess.length.resids",0.00439544458929858,0.000735642426036792,-0.00552534419034671,-0.0208752672285234,0.00873523393983828,-0.00639694877904904,0.00655905528807117,-0.00688736290501138,0.00959958375725661,0.0485502397551964,-0.0665984760945294,-0.0111115183334598,-0.0209967867120146,-0.00133886344221554,0.0375083924095997,0.00451524033986482,-0.0038022102971555,-0.0100529683217302
"point2.4.opening.inlever.resids",-0.0004388292469584,-0.0157133137145571,0.0099185259211859,0.0337808983251446,-0.0108206421256439,-0.00207889588573962,-0.00978757502033853,0.00555614859217267,-0.012273934032055,-0.0665984760945294,0.100968596749168,0.0367562460428309,0.031215863668919,0.000727759600253856,-0.0553001145124647,-0.0026512053636694,-0.00166330660808844,0.00615417950969347
"point12.19.nasal.tissue.protrusion.resids",0.0298835040823444,-0.0217777355930334,0.00554867607003613,0.00206339032618946,-0.00188033699276859,0.00762058908550059,0.00225945388998139,-0.0110381995135234,-0.00336102134372865,-0.0111115183334598,0.0367562460428309,0.0956057283855803,0.016363885940224,-0.0050131126404858,-0.0174451996596472,0.0091524663118482,0.0259243390957826,-0.0240672221730363
"point11.14.ectopterygoid.resids",-0.00568352824619025,0.000320674070167188,-0.00160713065243469,0.00817648484848447,-0.00393504338636159,-0.00135530219792771,0.00119677401936127,0.0078070094418568,0.000845217179467786,-0.0209967867120146,0.031215863668919,0.016363885940224,0.0349875860545136,0.0072528440271926,0.00679946919246658,-0.00219728453916425,0.00990829183247325,-0.00593166740863912
"point16.18.head.depth.resids",-0.00435718936980315,0.00686024272263218,-0.000132237440297428,0.00409319238498343,0.00096102521786733,0.00260883236692836,0.00338966750723566,0.00263575157501317,0.00207005215005592,-0.00133886344221554,0.000727759600253856,-0.0050131126404858,0.0072528440271926,0.00409788384108789,0.0030104819265053,0.000517805617335408,0.00145969622261775,0.00104763343940655
"point12.13.maxillary.head.protrusion.resids",-0.00127301658792032,-0.00388078736152446,-0.00865667474951123,-0.0258739207369691,0.0044005287595165,-0.0243874533929772,0.00246309924005759,0.00362176598235826,0.009864166031988,0.0375083924095997,-0.0553001145124647,-0.0174451996596472,0.00679946919246658,0.0030104819265053,0.0651057463202946,-0.0018506880018304,0.00569834872501235,-0.0155489756445005
"point6.11.maxilla.length.resids",0.00651443370144101,-0.000984920870226629,0.00397061582734719,0.00285038329003957,0.00299161251724897,-0.00198645900550873,0.00333444803481926,-0.00209573165229244,0.00109548481152021,0.00451524033986482,-0.0026512053636694,0.0091524663118482,-0.00219728453916425,0.000517805617335408,-0.0018506880018304,0.00438235036939138,0.00504607340019532,-0.00198546241187029
"point11.13.maxillary.head.height.resids",0.0260027125847431,0.010276278563855,0.00878815452899077,-0.00852068072000049,0.00105124904478114,0.0122093000076694,0.00763026951463733,0.00831524944410658,-0.00388374145852708,-0.0038022102971555,-0.00166330660808844,0.0259243390957826,0.00990829183247325,0.00145969622261775,0.00569834872501235,0.00504607340019532,0.0810411903861534,0.00836502723964827
"point17.18.pelvic.girdle.length.resids",-0.00630611382003441,0.0062630744000915,0.00163539549855655,0.00747526899565259,-0.000814696967135036,0.00543207711397524,-0.00123586850065306,0.00605423435790677,-0.00256168504894685,-0.0100529683217302,0.00615417950969347,-0.0240672221730363,-0.00593166740863912,0.00104763343940655,-0.0155489756445005,-0.00198546241187029,0.00836502723964827,0.0193827676886032
