"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.00967686266700265,0.00811142588195032,0.00633624015380676,0.00619230318113283,0.00486707038447433,0.00226392141039987,0.00507591260379476,0.00445404049277873,0.00119399376166073,0.00272750770908948,0.00354358230410746,0.0094592646376595,0.00165610847222361,0.00487296350516514,0.00622601145718713,0.00566451034998692,0.0131721027231549,0.00426392449573371
"point7.5.dentigerous.arm.base.resids",0.00811142588195032,0.0144931139004716,0.00489991540628901,0.00599282865824528,0.00300653998063855,0.00509606517659158,0.00224696005682524,0.00183910801775305,0.000857021658680595,-0.000343138284097367,0.00642896488427523,0.00676241158591932,0.00533986558119872,0.00399102693185756,0.00341283208996347,0.00419813220126582,0.0126852592851288,0.00501376969656013
"point1.2.lower.jaw.length.resids",0.00633624015380676,0.00489991540628901,0.00700033742471378,0.00596491760684568,0.00320356330708071,0.00113999619381092,0.00141151884025361,0.00357183648549978,0.00164938716402812,0.00251560219257844,0.0064710642578577,0.00741129178425043,0.00456101649511337,0.00299669883146221,0.00484069252202272,0.0033713761658193,0.00663175142604775,0.00462740960620135
"point8.9.dentigerous.arm.depth.resids",0.00619230318113283,0.00599282865824528,0.00596491760684568,0.0099604586488559,0.00318102589955143,0.00176361080802434,0.00259598844772295,0.0033897351154679,0.00208795142475849,-0.00184606639916661,0.00508543013715704,0.00937250651833327,0.00576477924327465,0.00373848437566196,0.00201627410401642,0.00373335634714806,0.00679444683245593,0.0050919708310396
"point2.11.palatine.height.resids",0.00486707038447433,0.00300653998063855,0.00320356330708071,0.00318102589955143,0.0133370723143857,0.00721500675626911,0.00685392920525177,0.00352351073440847,0.0033113764770905,0.00886580638202992,-0.00411468128744016,0.00117332827650378,0.00600620815651648,0.00556383348319741,0.00848307460351808,0.0105272124906633,-0.0124657969291712,0.000935645607079146
"point2.3.jaw.closing.inlever.resids",0.00226392141039987,0.00509606517659158,0.00113999619381092,0.00176361080802434,0.00721500675626911,0.0210787022475883,0.00378907595140467,0.00183314116244853,0.00395477118651122,0.00613593317025989,-0.00168101922082035,-0.00690072900449009,0.00366097405863008,0.004442634195332,0.00447785585107559,0.00589345152618207,0.00197445423779097,0.000973826313120148
"point15.16.cranial.height.resids",0.00507591260379476,0.00224696005682524,0.00141151884025361,0.00259598844772295,0.00685392920525177,0.00378907595140467,0.0137325460453297,0.00367289185169134,0.00294015120610748,0.00568236593429717,-0.00455142474078459,0.00229831526467513,-0.000546289347969794,0.00551171945033019,0.00576892015533493,0.00684731577456964,0.0059202883226521,-0.000995198576892436
"point14.15.orbit.diameter.resids",0.00445404049277873,0.00183910801775305,0.00357183648549978,0.0033897351154679,0.00352351073440847,0.00183314116244853,0.00367289185169134,0.0147281799731084,0.00374475912031004,0.00412687030308534,0.0029397288242131,0.00463426532234739,-0.00223176613529316,0.00339917432054319,0.00420481935599198,0.00396507220543259,0.0052821303946635,0.00091862239870339
"point2.18.suspensorium.length.resids",0.00119399376166073,0.000857021658680595,0.00164938716402812,0.00208795142475849,0.0033113764770905,0.00395477118651122,0.00294015120610748,0.00374475912031004,0.0103002956319409,0.0079620785827925,-0.000140178792423839,-0.00252983145573912,0.000879819273235606,0.00183742122529731,0.0057206269724125,0.00394837361737614,-0.001876417317069,-0.00168170795534017
"point9.10.ascending.proess.length.resids",0.00272750770908948,-0.000343138284097367,0.00251560219257844,-0.00184606639916661,0.00886580638202992,0.00613593317025989,0.00568236593429717,0.00412687030308534,0.0079620785827925,0.0476200805507158,-0.00291948127620412,-0.00630707319781879,-0.00162997616969305,0.00329270113034165,0.0130979632943754,0.00828507387297773,-0.00931062797330101,-0.00294996664410288
"point2.4.opening.inlever.resids",0.00354358230410746,0.00642896488427523,0.0064710642578577,0.00508543013715704,-0.00411468128744016,-0.00168101922082035,-0.00455142474078459,0.0029397288242131,-0.000140178792423839,-0.00291948127620412,0.0578478454229679,0.00837172675287775,0.00693273717341733,0.00255705074912165,2.89779201671247e-05,0.000290859790726043,0.0104883826077011,0.00731388174657197
"point12.19.nasal.tissue.protrusion.resids",0.0094592646376595,0.00676241158591932,0.00741129178425043,0.00937250651833327,0.00117332827650378,-0.00690072900449009,0.00229831526467513,0.00463426532234739,-0.00252983145573912,-0.00630707319781879,0.00837172675287775,0.0764510853616043,0.00704360325734259,0.0036721483417007,-0.000188228530057625,0.00197019813862629,0.017071865861264,0.00745576021837521
"point11.14.ectopterygoid.resids",0.00165610847222361,0.00533986558119872,0.00456101649511337,0.00576477924327465,0.00600620815651648,0.00366097405863008,-0.000546289347969794,-0.00223176613529316,0.000879819273235606,-0.00162997616969305,0.00693273717341733,0.00704360325734259,0.0369577731251558,0.00287107993241523,-0.00191522698765866,0.00357810401319371,-0.0269521942872416,0.00647109718519699
"point16.18.head.depth.resids",0.00487296350516514,0.00399102693185756,0.00299669883146221,0.00373848437566196,0.00556383348319741,0.004442634195332,0.00551171945033019,0.00339917432054319,0.00183742122529731,0.00329270113034165,0.00255705074912165,0.0036721483417007,0.00287107993241523,0.00568175591932058,0.00384909586244263,0.0055854316898265,0.00581429989540651,0.00228534880059608
"point12.13.maxillary.head.protrusion.resids",0.00622601145718713,0.00341283208996347,0.00484069252202272,0.00201627410401642,0.00848307460351808,0.00447785585107559,0.00576892015533493,0.00420481935599198,0.0057206269724125,0.0130979632943754,2.89779201671247e-05,-0.000188228530057625,-0.00191522698765866,0.00384909586244263,0.0422669958040895,0.00807684651879567,0.00513843255397375,0.000838008210444487
"point6.11.maxilla.length.resids",0.00566451034998692,0.00419813220126582,0.0033713761658193,0.00373335634714806,0.0105272124906633,0.00589345152618207,0.00684731577456964,0.00396507220543259,0.00394837361737614,0.00828507387297773,0.000290859790726043,0.00197019813862629,0.00357810401319371,0.0055854316898265,0.00807684651879567,0.0103794380744606,-0.00524755037158732,0.00102164987909718
"point11.13.maxillary.head.height.resids",0.0131721027231549,0.0126852592851288,0.00663175142604775,0.00679444683245593,-0.0124657969291712,0.00197445423779097,0.0059202883226521,0.0052821303946635,-0.001876417317069,-0.00931062797330101,0.0104883826077011,0.017071865861264,-0.0269521942872416,0.00581429989540651,0.00513843255397375,-0.00524755037158732,0.110413224219397,0.00481109719081851
