"","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids"
"point5.8.dentigerous.arm.width.resids",0.0085531827033465,0.00357747027327919,0.00298382082684903,0.00502443461073014,0.00986538489612592,0.00811959488914876,0.00962853573199371,0.00237964832171644,0.00659904818574344,0.00582822898159982,0.0131991098899604,0.0327806980461397,-0.000345466069460973,0.0074096851912361,0.00579898989357091,0.00898346098010524,-0.000914675068356419,0.0116537498924192
"point7.5.dentigerous.arm.base.resids",0.00357747027327919,0.00714584516713569,0.00316438984697413,0.00764042568934826,0.00955668862827427,0.0127664152474987,0.00705308417647431,0.0056372521023012,0.00732983088400531,0.0103925717123491,0.00269163250035547,-0.0112858393248623,0.0142593477529866,0.00924143444140148,0.0143776170664727,0.00915680673216981,-0.0167270467945344,0.0105888968051152
"point1.2.lower.jaw.length.resids",0.00298382082684903,0.00316438984697413,0.00181515042953674,0.00342948195240986,0.00523032210150705,0.0059365799328435,0.00516654754456671,0.00202623372243933,0.00319304611590099,0.00398262359939981,0.00282005712670559,-0.000791482061690147,0.00478127941284096,0.00402530638195463,0.00663522834361968,0.00469904026301556,-0.0057178502423004,0.00592208625212489
"point8.9.dentigerous.arm.depth.resids",0.00502443461073014,0.00764042568934826,0.00342948195240986,0.00871107812633558,0.0112060759832226,0.0140777806201065,0.00735093839458565,0.00656513049405112,0.00942981689647345,0.0124420470380356,0.00632285626621104,0.000851071152540645,0.0138929940001708,0.0114216453253059,0.0142162576483717,0.0110045302364697,-0.0167984933791681,0.0125816922357192
"point2.11.palatine.height.resids",0.00986538489612592,0.00955668862827427,0.00523032210150705,0.0112060759832226,0.0166215023990004,0.0184040567067483,0.0136788691626308,0.007369059451849,0.0122868113684547,0.0146901072083768,0.0128588213251093,0.0153914559938529,0.0134398190361889,0.0147264716338486,0.0179376518158061,0.0156659399160345,-0.0168278779085503,0.0189696529483477
"point2.3.jaw.closing.inlever.resids",0.00811959488914876,0.0127664152474987,0.0059365799328435,0.0140777806201065,0.0184040567067483,0.0232942188531619,0.0136905784191851,0.0101851277129839,0.0142391331296725,0.0191758378549065,0.00833244449675034,-0.00809283840011065,0.0235527237928423,0.0176072762618963,0.0249941781776769,0.0176432147757233,-0.0280644569134857,0.0205902475717709
"point15.16.cranial.height.resids",0.00962853573199371,0.00705308417647431,0.00516654754456671,0.00735093839458565,0.0136788691626308,0.0136905784191851,0.0173740929608811,0.00278387188026624,0.00572957338818529,0.00611003177656668,0.00815414795518408,-6.45924085633706e-05,0.00742556885511842,0.00758529780125135,0.0164395270151602,0.0113288679831649,-0.00886870949906485,0.015664875707808
"point14.15.orbit.diameter.resids",0.00237964832171644,0.0056372521023012,0.00202623372243933,0.00656513049405112,0.007369059451849,0.0101851277129839,0.00278387188026624,0.0056298259053322,0.00759980954853157,0.0104404497312963,0.00386202874568277,5.96416369418072e-06,0.0116904063147664,0.00906852337096359,0.00973316904161207,0.0077477624723666,-0.0141272216505163,0.00818706258428924
"point2.18.suspensorium.length.resids",0.00659904818574344,0.00732983088400531,0.00319304611590099,0.00942981689647345,0.0122868113684547,0.0142391331296725,0.00572957338818529,0.00759980954853157,0.0122864575513952,0.0149064867526575,0.0122737230275561,0.0249673508736214,0.0112999249749823,0.0140987041194503,0.0111800975042414,0.012712452722005,-0.0146981443664123,0.0140478610801615
"point9.10.ascending.proess.length.resids",0.00582822898159982,0.0103925717123491,0.00398262359939981,0.0124420470380356,0.0146901072083768,0.0191758378549065,0.00611003177656668,0.0104404497312963,0.0149064867526575,0.0196892571464692,0.00998551821764785,0.00974544065542397,0.0199502294222568,0.017576332134205,0.017415648931716,0.015330737534398,-0.0245143356956534,0.0164809026281
"point2.4.opening.inlever.resids",0.0131991098899604,0.00269163250035547,0.00282005712670559,0.00632285626621104,0.0128588213251093,0.00833244449675034,0.00815414795518408,0.00386202874568277,0.0122737230275561,0.00998551821764785,0.0272646870203363,0.0880010667624738,-0.00785146139822475,0.0126306434928876,-0.000742533983725471,0.0129289366995577,0.00580705832504006,0.0156657263755397
"point12.19.nasal.tissue.protrusion.resids",0.0327806980461397,-0.0112858393248623,-0.000791482061690147,0.000851071152540645,0.0153914559938529,-0.00809283840011065,-6.45924085633706e-05,5.96416369418072e-06,0.0249673508736214,0.00974544065542397,0.0880010667624738,0.349361611192323,-0.0655342342340276,0.0206320883151334,-0.04749857536112,0.0185805848728764,0.0644221612456504,0.0218488416091606
"point11.14.ectopterygoid.resids",-0.000345466069460973,0.0142593477529866,0.00478127941284096,0.0138929940001708,0.0134398190361889,0.0235527237928423,0.00742556885511842,0.0116904063147664,0.0112999249749823,0.0199502294222568,-0.00785146139822475,-0.0655342342340276,0.0367395438430935,0.0152785432397848,0.0303098587745384,0.013369134620051,-0.0416157826976827,0.0140885342986938
"point16.18.head.depth.resids",0.0074096851912361,0.00924143444140148,0.00402530638195463,0.0114216453253059,0.0147264716338486,0.0176072762618963,0.00758529780125135,0.00906852337096359,0.0140987041194503,0.017576332134205,0.0126306434928876,0.0206320883151334,0.0152785432397848,0.0164275702537763,0.0151286611221717,0.0150323647670943,-0.0193155263813768,0.0167324387190705
"point12.13.maxillary.head.protrusion.resids",0.00579898989357091,0.0143776170664727,0.00663522834361968,0.0142162576483717,0.0179376518158061,0.0249941781776769,0.0164395270151602,0.00973316904161207,0.0111800975042414,0.017415648931716,-0.000742533983725471,-0.04749857536112,0.0303098587745384,0.0151286611221717,0.0317244956666982,0.0163166269205691,-0.034545003632298,0.0196232628350975
"point6.11.maxilla.length.resids",0.00898346098010524,0.00915680673216981,0.00469904026301556,0.0110045302364697,0.0156659399160345,0.0176432147757233,0.0113288679831649,0.0077477624723666,0.012712452722005,0.015330737534398,0.0129289366995577,0.0185805848728764,0.013369134620051,0.0150323647670943,0.0163166269205691,0.0151671807318775,-0.0168934387362081,0.017877074441146
"point11.13.maxillary.head.height.resids",-0.000914675068356419,-0.0167270467945344,-0.0057178502423004,-0.0167984933791681,-0.0168278779085503,-0.0280644569134857,-0.00886870949906485,-0.0141272216505163,-0.0146981443664123,-0.0245143356956534,0.00580705832504006,0.0644221612456504,-0.0416157826976827,-0.0193155263813768,-0.034545003632298,-0.0168934387362081,0.047553849053976,-0.01787474748882
