"","X","upper","mean","lower","Pop"
"1","MeanSquaredCorrelation",0.156,0.152,0.148,"carb"
"2","respondability",0.049,0.048,0.046,"carb"
"3","autonomy",0.072,0.07,0.068,"carb"
"4","flexibility",0.518,0.514,0.511,"carb"
"5","constraints",0.622,0.614,0.605,"carb"
"6","MeanSquaredCorrelation",0.631,0.595,0.56,"cp.gen"
"7","respondability",0.038,0.036,0.035,"cp.gen"
"8","autonomy",0,0,0,"cp.gen"
"9","flexibility",0.287,0.278,0.269,"cp.gen"
"10","constraints",0.838,0.817,0.796,"cp.gen"
"11","MeanSquaredCorrelation",0.112,0.11,0.109,"cp.hyb"
"12","respondability",0.022,0.022,0.022,"cp.hyb"
"13","autonomy",0.152,0.15,0.149,"cp.hyb"
"14","flexibility",0.586,0.584,0.582,"cp.hyb"
"15","constraints",0.568,0.563,0.559,"cp.hyb"
"16","MeanSquaredCorrelation",0.864,0.816,0.769,"cp.M"
"17","respondability",0.04,0.039,0.038,"cp.M"
"18","autonomy",0,0,0,"cp.M"
"19","flexibility",0.24,0.23,0.22,"cp.M"
"20","constraints",0.917,0.888,0.859,"cp.M"
"21","MeanSquaredCorrelation",0.6,0.566,0.531,"cp.P"
"22","respondability",0.157,0.145,0.133,"cp.P"
"23","autonomy",0,0,0,"cp.P"
"24","flexibility",0.265,0.258,0.252,"cp.P"
"25","constraints",0.916,0.905,0.893,"cp.P"
"26","MeanSquaredCorrelation",0.665,0.636,0.607,"ll.gen"
"27","respondability",0.099,0.094,0.089,"ll.gen"
"28","autonomy",0,0,0,"ll.gen"
"29","flexibility",0.28,0.272,0.265,"ll.gen"
"30","constraints",0.862,0.844,0.826,"ll.gen"
"31","MeanSquaredCorrelation",0.103,0.101,0.098,"ll.hyb"
"32","respondability",0.046,0.045,0.045,"ll.hyb"
"33","autonomy",0.142,0.14,0.138,"ll.hyb"
"34","flexibility",0.625,0.623,0.62,"ll.hyb"
"35","constraints",0.549,0.543,0.537,"ll.hyb"
"36","MeanSquaredCorrelation",0.259,0.246,0.232,"ll.M"
"37","respondability",0.074,0.072,0.07,"ll.M"
"38","autonomy",0,0,0,"ll.M"
"39","flexibility",0.409,0.401,0.392,"ll.M"
"40","constraints",0.677,0.662,0.648,"ll.M"
"41","MeanSquaredCorrelation",0.357,0.342,0.327,"ll.P"
"42","respondability",0.226,0.209,0.191,"ll.P"
"43","autonomy",0,0,0,"ll.P"
"44","flexibility",0.332,0.324,0.317,"ll.P"
"45","constraints",0.818,0.802,0.787,"ll.P"
"46","MeanSquaredCorrelation",0.472,0.456,0.44,"ssi.gen"
"47","respondability",0.1,0.095,0.09,"ssi.gen"
"48","autonomy",0.078,0.075,0.073,"ssi.gen"
"49","flexibility",0.427,0.421,0.415,"ssi.gen"
"50","constraints",0.791,0.781,0.771,"ssi.gen"
"51","MeanSquaredCorrelation",0.147,0.145,0.142,"ssi.rad"
"52","respondability",0.102,0.099,0.095,"ssi.rad"
"53","autonomy",0.036,0.034,0.033,"ssi.rad"
"54","flexibility",0.534,0.529,0.525,"ssi.rad"
"55","constraints",0.615,0.605,0.596,"ssi.rad"
