"","upper","mean","lower","Pop"
"correlation","0.3508538","0.3282495","0.3056453","cp.gen.hyb"
"correlation1","0.8420528","0.8376074","0.8331620","cp.ll.hyb"
"correlation2","0.2943466","0.2727364","0.2511263","cp.M.hyb"
"correlation3","0.3783048","0.3614237","0.3445426","cp.P.hyb"
"correlation4","0.4329918","0.4158927","0.3987937","ll.gen.hyb"
"correlation5","0.5000399","0.4846561","0.4692723","ll.M.hyb"
"correlation6","0.4575764","0.4418306","0.4260848","ll.P.hyb"
"correlation7","0.6706813","0.6572507","0.6438201","ssi.gen.carb"
"correlation8","0.5841088","0.5699580","0.5558072","ssi.gen.rad"
"correlation9","0.7190383","0.7087104","0.6983825","ssi.rad.carb"
