"","PC1","PC2","PC3"
"point5.8.dentigerous.arm.width.resids_point5.8.dentigerous.arm.width.resids",0.0224801271839274,-0.0122958072318436,0.481144141211394
"point5.8.dentigerous.arm.width.resids_point7.5.dentigerous.arm.base.resids",-0.0195846312444423,-0.022496756983854,-0.720586156687904
"point5.8.dentigerous.arm.width.resids_point1.2.lower.jaw.length.resids",0.0144933332896166,-0.0324611566017854,-0.0094892845210537
"point5.8.dentigerous.arm.width.resids_point8.9.dentigerous.arm.depth.resids",0.0258364149549364,-0.044356771604042,-0.00279706938091795
"point5.8.dentigerous.arm.width.resids_point2.11.palatine.height.resids",-0.004045785974398,-0.00530207492309684,-0.000897395407839768
"point5.8.dentigerous.arm.width.resids_point2.3.jaw.closing.inlever.resids",0.0119041526754833,-0.0199164495541544,-0.0137021132798175
"point5.8.dentigerous.arm.width.resids_point15.16.cranial.height.resids",-0.000213541899719288,0.0215626451715315,0.00720186534292357
"point5.8.dentigerous.arm.width.resids_point14.15.orbit.diameter.resids",0.0194579399028846,-0.0125807035913767,0.000966846083105873
"point5.8.dentigerous.arm.width.resids_point2.18.suspensorium.length.resids",-0.0123953920656064,-0.0143833341610117,0.0115645132893199
"point5.8.dentigerous.arm.width.resids_point9.10.ascending.proess.length.resids",-0.0100550196243318,0.00387266994896101,0.00442687205024637
"point5.8.dentigerous.arm.width.resids_point2.4.opening.inlever.resids",-0.0660166390885891,-0.0430420267393618,-0.0395612527724329
"point5.8.dentigerous.arm.width.resids_point12.19.nasal.tissue.protrusion.resids",0.0436887581322595,-0.0159902309296675,-0.00341136830218248
"point5.8.dentigerous.arm.width.resids_point11.14.ectopterygoid.resids",-0.0142108566615786,-0.00255455459293755,0.007371500305774
"point5.8.dentigerous.arm.width.resids_point16.18.head.depth.resids",0.0107392016725011,-0.00830133294023028,-0.011393891268272
"point5.8.dentigerous.arm.width.resids_point12.13.maxillary.head.protrusion.resids",-0.0792026036007007,0.0340461604738251,0.0242711367878028
"point5.8.dentigerous.arm.width.resids_point6.11.maxilla.length.resids",-0.00531568959998622,-0.00667674132348944,0.00117549775222283
"point5.8.dentigerous.arm.width.resids_point11.13.maxillary.head.height.resids",0.092230744573842,-0.0117974560507338,0.0247593168810834
"point5.8.dentigerous.arm.width.resids_point17.18.pelvic.girdle.length.resids",0.026271530949637,-0.0201629380766609,-0.0246445464737705
"point7.5.dentigerous.arm.base.resids_point5.8.dentigerous.arm.width.resids",-0.0195846312444424,-0.0224967569838538,-0.0158547934855188
"point7.5.dentigerous.arm.base.resids_point7.5.dentigerous.arm.base.resids",0.00847243162174653,-0.0132804727418545,0.00840079358196969
"point7.5.dentigerous.arm.base.resids_point1.2.lower.jaw.length.resids",-0.0132189331650387,-0.00977792462638409,-0.000514833769850317
"point7.5.dentigerous.arm.base.resids_point8.9.dentigerous.arm.depth.resids",-0.0204105028080779,-0.00830468319789208,0.0171671882367185
"point7.5.dentigerous.arm.base.resids_point2.11.palatine.height.resids",-0.0044925030042014,0.0122636660545445,0.00210067976503421
"point7.5.dentigerous.arm.base.resids_point2.3.jaw.closing.inlever.resids",-0.0141344170740464,0.0128560462133774,0.00392666172532405
"point7.5.dentigerous.arm.base.resids_point15.16.cranial.height.resids",-0.00270637267232689,-0.0129671406604007,-0.00427892608248541
"point7.5.dentigerous.arm.base.resids_point14.15.orbit.diameter.resids",-0.0141630959960679,-0.00924301969934312,0.00842361825651098
"point7.5.dentigerous.arm.base.resids_point2.18.suspensorium.length.resids",0.00792569465080165,-0.0114752577581452,-0.000690065907559151
"point7.5.dentigerous.arm.base.resids_point9.10.ascending.proess.length.resids",0.000323035035246151,-0.0028784798676918,-0.000549217047635569
"point7.5.dentigerous.arm.base.resids_point2.4.opening.inlever.resids",0.0417002939809854,-0.0389282776942532,-0.022683095263965
"point7.5.dentigerous.arm.base.resids_point12.19.nasal.tissue.protrusion.resids",-0.0170901776796307,-0.105221134881623,-0.00656568438279927
"point7.5.dentigerous.arm.base.resids_point11.14.ectopterygoid.resids",0.001185553910373,0.0146870101167439,0.00883629153781818
"point7.5.dentigerous.arm.base.resids_point16.18.head.depth.resids",-0.00908047325796202,-0.0147254130282478,-0.000172200055694547
"point7.5.dentigerous.arm.base.resids_point12.13.maxillary.head.protrusion.resids",0.0520257646556741,-0.0149617688612318,-0.0216155916417478
"point7.5.dentigerous.arm.base.resids_point6.11.maxilla.length.resids",-0.00244205786076733,0.00474388007619976,0.00422209741802986
"point7.5.dentigerous.arm.base.resids_point11.13.maxillary.head.height.resids",-0.0425058830793791,-0.0227359640583546,0.0206566324752327
"point7.5.dentigerous.arm.base.resids_point17.18.pelvic.girdle.length.resids",-0.0159745602283469,-0.0167139312843416,0.010597336047835
"point1.2.lower.jaw.length.resids_point5.8.dentigerous.arm.width.resids",0.0144933332896166,-0.0324611566017854,-0.00948928452105366
"point1.2.lower.jaw.length.resids_point7.5.dentigerous.arm.base.resids",-0.0132189331650387,-0.00977792462638409,-0.000514833769850317
"point1.2.lower.jaw.length.resids_point1.2.lower.jaw.length.resids",0.00440521113158509,-0.00297975544280347,0.0107265408387733
"point1.2.lower.jaw.length.resids_point8.9.dentigerous.arm.depth.resids",0.00815028602152069,0.0279493683159382,-0.0170490262846139
"point1.2.lower.jaw.length.resids_point2.11.palatine.height.resids",-0.00209159891229006,-0.0102193355589267,0.00333899929246589
"point1.2.lower.jaw.length.resids_point2.3.jaw.closing.inlever.resids",0.00308752236533602,0.0232791143320579,0.00237749016431117
"point1.2.lower.jaw.length.resids_point15.16.cranial.height.resids",0.0060185982703297,-0.044290736174102,0.00678524943115733
"point1.2.lower.jaw.length.resids_point14.15.orbit.diameter.resids",0.00973116523164179,-0.00376029789345994,-0.000922919581082393
"point1.2.lower.jaw.length.resids_point2.18.suspensorium.length.resids",-0.00726228520689663,-0.00651005440214905,-0.000862384874272241
"point1.2.lower.jaw.length.resids_point9.10.ascending.proess.length.resids",-0.00192670096344504,-0.0168873779636845,-0.000356187589246065
"point1.2.lower.jaw.length.resids_point2.4.opening.inlever.resids",-0.0371057580654818,-0.0179827754965471,0.00746972531073338
"point1.2.lower.jaw.length.resids_point12.19.nasal.tissue.protrusion.resids",0.0273823362083655,-0.050089174570248,-0.00715897164591578
"point1.2.lower.jaw.length.resids_point11.14.ectopterygoid.resids",-0.00858406959401785,-0.013809493774799,-0.00279367190613177
"point1.2.lower.jaw.length.resids_point16.18.head.depth.resids",0.0065301337751491,-0.00595845253748316,4.45683087178426e-05
"point1.2.lower.jaw.length.resids_point12.13.maxillary.head.protrusion.resids",-0.0345184722788227,-0.0994309446739467,0.022181752765472
"point1.2.lower.jaw.length.resids_point6.11.maxilla.length.resids",-0.00239015947707931,-0.0173935233304811,0.00260898848482173
"point1.2.lower.jaw.length.resids_point11.13.maxillary.head.height.resids",0.0402395650977919,-0.0141537618913505,-0.0166056954288654
"point1.2.lower.jaw.length.resids_point17.18.pelvic.girdle.length.resids",0.0115369344226777,0.00452109838883016,-0.00101732495539705
