"","PC1","PC2","PC3"
"point5.8.dentigerous.arm.width.resids_point5.8.dentigerous.arm.width.resids",-0.0095539978719672,0.0588892446057861,-0.844473704095792
"point5.8.dentigerous.arm.width.resids_point7.5.dentigerous.arm.base.resids",0.0159715706864849,-0.0724007312106577,-0.260367484404211
"point5.8.dentigerous.arm.width.resids_point1.2.lower.jaw.length.resids",0.000371616445847339,0.0138898148878368,0.00309960224831299
"point5.8.dentigerous.arm.width.resids_point8.9.dentigerous.arm.depth.resids",0.00248025757065893,-0.0442285383552227,0.00175923681315329
"point5.8.dentigerous.arm.width.resids_point2.11.palatine.height.resids",0.00173105378238827,-0.00922269345024228,0.00396319606893923
"point5.8.dentigerous.arm.width.resids_point2.3.jaw.closing.inlever.resids",0.00784072432976431,-0.0449479465622527,0.00643520074493124
"point5.8.dentigerous.arm.width.resids_point15.16.cranial.height.resids",-0.00608688583417009,-0.0173472382551426,-9.42138434952781e-05
"point5.8.dentigerous.arm.width.resids_point14.15.orbit.diameter.resids",0.00103390685390345,-0.0356248919486488,-0.00239932945493366
"point5.8.dentigerous.arm.width.resids_point2.18.suspensorium.length.resids",-0.00118231906016446,-0.0179817833059927,0.000310814567152336
"point5.8.dentigerous.arm.width.resids_point9.10.ascending.proess.length.resids",-0.00162327974752476,0.00676516455921084,-0.00267286692833582
"point5.8.dentigerous.arm.width.resids_point2.4.opening.inlever.resids",0.000737877951706731,-0.016713091639128,-0.00149206266034172
"point5.8.dentigerous.arm.width.resids_point12.19.nasal.tissue.protrusion.resids",-0.0511211138184844,0.0772610429829553,0.0194431617073762
"point5.8.dentigerous.arm.width.resids_point11.14.ectopterygoid.resids",0.0133711332782067,-0.0286573596967669,0.000116441074642659
"point5.8.dentigerous.arm.width.resids_point16.18.head.depth.resids",-0.00088438687219724,-0.0391997946554904,0.0136011296348527
"point5.8.dentigerous.arm.width.resids_point12.13.maxillary.head.protrusion.resids",7.46686656802476e-05,-0.0317061764286487,-0.00656901440268234
"point5.8.dentigerous.arm.width.resids_point6.11.maxilla.length.resids",-0.00155094972410854,0.00331803499635845,0.000486066684660359
"point5.8.dentigerous.arm.width.resids_point11.13.maxillary.head.height.resids",-0.0406230878518745,0.0470162307796201,-0.00575796170795858
"point5.8.dentigerous.arm.width.resids_point17.18.pelvic.girdle.length.resids",0.00431705600103071,-0.0439383363499686,0.000116960329664186
"point7.5.dentigerous.arm.base.resids_point5.8.dentigerous.arm.width.resids",0.0159715706864848,-0.0724007312106574,0.0110558194446929
"point7.5.dentigerous.arm.base.resids_point7.5.dentigerous.arm.base.resids",0.00358630287602553,0.156513459932696,-0.0544219591579659
"point7.5.dentigerous.arm.base.resids_point1.2.lower.jaw.length.resids",0.0152629179605446,-0.029803237254071,-0.0107753750850219
"point7.5.dentigerous.arm.base.resids_point8.9.dentigerous.arm.depth.resids",0.00143019710840776,-0.036312382102927,0.00197777318632165
"point7.5.dentigerous.arm.base.resids_point2.11.palatine.height.resids",0.00985236219453725,-0.00845311392840643,-0.0055845602826528
"point7.5.dentigerous.arm.base.resids_point2.3.jaw.closing.inlever.resids",-0.0223335121266155,0.183811472396522,-0.0340450640725455
"point7.5.dentigerous.arm.base.resids_point15.16.cranial.height.resids",-0.0211846987329471,0.0424069793554823,0.01486331850131
"point7.5.dentigerous.arm.base.resids_point14.15.orbit.diameter.resids",-0.00179177302675034,-0.00297359398702364,-0.000490472830945546
"point7.5.dentigerous.arm.base.resids_point2.18.suspensorium.length.resids",0.00280196153522028,0.000618406097187649,0.000686005870140043
"point7.5.dentigerous.arm.base.resids_point9.10.ascending.proess.length.resids",0.026137980801449,0.00923103626766599,0.00941050597150185
"point7.5.dentigerous.arm.base.resids_point2.4.opening.inlever.resids",0.00516693455820675,-0.0927350075235811,0.0223763803977859
"point7.5.dentigerous.arm.base.resids_point12.19.nasal.tissue.protrusion.resids",-0.0261696544775462,-0.12539323013036,-0.0217693711561318
"point7.5.dentigerous.arm.base.resids_point11.14.ectopterygoid.resids",0.0243865920159008,-0.0168750476081295,-0.00596287532598067
"point7.5.dentigerous.arm.base.resids_point16.18.head.depth.resids",-0.00914126605430864,0.0105037137080791,-0.00455311962072785
"point7.5.dentigerous.arm.base.resids_point12.13.maxillary.head.protrusion.resids",0.0137876563163759,-0.028388328099766,0.00439048779168983
"point7.5.dentigerous.arm.base.resids_point6.11.maxilla.length.resids",0.00798413721628631,-0.0204974725809352,-0.000534743855926453
"point7.5.dentigerous.arm.base.resids_point11.13.maxillary.head.height.resids",-0.0108713157497408,-0.0121310585027958,0.00948197904224734
"point7.5.dentigerous.arm.base.resids_point17.18.pelvic.girdle.length.resids",-0.00366797660537292,0.00462926413583907,0.00281529129485497
"point1.2.lower.jaw.length.resids_point5.8.dentigerous.arm.width.resids",0.000371616445847339,0.0138898148878368,0.00309960224831306
"point1.2.lower.jaw.length.resids_point7.5.dentigerous.arm.base.resids",0.0152629179605446,-0.029803237254071,-0.0107753750850219
"point1.2.lower.jaw.length.resids_point1.2.lower.jaw.length.resids",0.00416041718256681,0.00948336536793138,0.00132426808416775
"point1.2.lower.jaw.length.resids_point8.9.dentigerous.arm.depth.resids",-0.0045127699077155,0.00298401344790411,-0.00212535695974328
"point1.2.lower.jaw.length.resids_point2.11.palatine.height.resids",0.00713808221274238,-0.00380071729572414,-0.0012783133219941
"point1.2.lower.jaw.length.resids_point2.3.jaw.closing.inlever.resids",0.0102629863293968,-0.0409934285504141,-0.00537802069346559
"point1.2.lower.jaw.length.resids_point15.16.cranial.height.resids",-0.00567254148272113,-0.00351943008712494,-0.00154548989061906
"point1.2.lower.jaw.length.resids_point14.15.orbit.diameter.resids",-0.00205372522584124,-0.0149348489071566,-0.00152618013677182
"point1.2.lower.jaw.length.resids_point2.18.suspensorium.length.resids",0.00796332106530237,-0.0154267293220718,-0.00563293058384857
"point1.2.lower.jaw.length.resids_point9.10.ascending.proess.length.resids",0.00637724929999236,-0.0328728112005188,-0.0026822663340484
"point1.2.lower.jaw.length.resids_point2.4.opening.inlever.resids",-0.000624931720785156,0.0144705229609108,-0.00773660374985602
"point1.2.lower.jaw.length.resids_point12.19.nasal.tissue.protrusion.resids",-0.0567082379764219,-0.0180060682908065,0.0118601054421018
"point1.2.lower.jaw.length.resids_point11.14.ectopterygoid.resids",0.0142936720464209,-0.023537417389742,0.00817741594049803
"point1.2.lower.jaw.length.resids_point16.18.head.depth.resids",-0.00319106042480248,-0.0138047185412674,-0.000626030722346204
"point1.2.lower.jaw.length.resids_point12.13.maxillary.head.protrusion.resids",0.0153836011109921,-0.054344021752874,0.000634781079984882
"point1.2.lower.jaw.length.resids_point6.11.maxilla.length.resids",0.00623546475344932,0.00364826775610966,-0.00479208848328983
"point1.2.lower.jaw.length.resids_point11.13.maxillary.head.height.resids",-0.00850194428460749,0.00760282365597393,-0.000192617599643678
"point1.2.lower.jaw.length.resids_point17.18.pelvic.girdle.length.resids",-0.0106694545460627,-0.0145611321914167,-0.000974365261772452
"point8.9.dentigerous.arm.depth.resids_point5.8.dentigerous.arm.width.resids",0.00248025757065893,-0.0442285383552227,0.00175923681315329
"point8.9.dentigerous.arm.depth.resids_point7.5.dentigerous.arm.base.resids",0.00143019710840776,-0.036312382102927,0.00197777318632165
"point8.9.dentigerous.arm.depth.resids_point1.2.lower.jaw.length.resids",-0.0045127699077155,0.00298401344790411,-0.00212535695974328
"point8.9.dentigerous.arm.depth.resids_point8.9.dentigerous.arm.depth.resids",-0.0165317650105313,0.0539140540248517,0.00974308534138603
"point8.9.dentigerous.arm.depth.resids_point2.11.palatine.height.resids",-0.000882085663629289,-0.0121563478811206,-0.000472592123576585
"point8.9.dentigerous.arm.depth.resids_point2.3.jaw.closing.inlever.resids",0.00259680218839981,-0.0240700136751835,-0.00013996862955332
"point8.9.dentigerous.arm.depth.resids_point15.16.cranial.height.resids",-0.000741185224974256,-0.00826997194690558,0.000223179761119142
"point8.9.dentigerous.arm.depth.resids_point14.15.orbit.diameter.resids",-0.00211589306580036,-0.00464135365654753,0.00110954120279816
"point8.9.dentigerous.arm.depth.resids_point2.18.suspensorium.length.resids",-0.0028370802787323,-0.0145912451098263,0.0014648465363312
"point8.9.dentigerous.arm.depth.resids_point9.10.ascending.proess.length.resids",0.0101079630269552,-0.0786848400738874,-0.00188232110842929
"point8.9.dentigerous.arm.depth.resids_point2.4.opening.inlever.resids",-0.0208923837211184,0.117645382111698,0.00790039498840523
"point8.9.dentigerous.arm.depth.resids_point12.19.nasal.tissue.protrusion.resids",-0.0139211350303473,-0.0334024000893003,0.0105632653121195
"point8.9.dentigerous.arm.depth.resids_point11.14.ectopterygoid.resids",-0.00532002659717367,0.00925096625191054,0.00152492323871504
"point8.9.dentigerous.arm.depth.resids_point16.18.head.depth.resids",-0.0037692135004517,0.000827204464371181,0.00207710010429402
"point8.9.dentigerous.arm.depth.resids_point12.13.maxillary.head.protrusion.resids",0.0113839429885397,-0.115937339791161,-0.018343330869718
"point8.9.dentigerous.arm.depth.resids_point6.11.maxilla.length.resids",-0.0028016462718115,-0.00423516096232121,0.00225988416511933
"point8.9.dentigerous.arm.depth.resids_point11.13.maxillary.head.height.resids",-0.0150750332692721,-0.0674724330729364,0.000621518701794097
"point8.9.dentigerous.arm.depth.resids_point17.18.pelvic.girdle.length.resids",-0.00497226788574856,0.00919291435583796,-0.00344050737554454
"point2.11.palatine.height.resids_point5.8.dentigerous.arm.width.resids",0.00173105378238827,-0.00922269345024228,0.00396319606893923
"point2.11.palatine.height.resids_point7.5.dentigerous.arm.base.resids",0.00985236219453725,-0.00845311392840643,-0.0055845602826528
"point2.11.palatine.height.resids_point1.2.lower.jaw.length.resids",0.00713808221274238,-0.00380071729572414,-0.0012783133219941
"point2.11.palatine.height.resids_point8.9.dentigerous.arm.depth.resids",-0.000882085663629289,-0.0121563478811206,-0.000472592123576585
"point2.11.palatine.height.resids_point2.11.palatine.height.resids",5.83529466677294e-05,-0.0425606195288623,-0.0149163881702621
"point2.11.palatine.height.resids_point2.3.jaw.closing.inlever.resids",0.00283759460194789,-0.0460124208566662,0.00160376443559947
"point2.11.palatine.height.resids_point15.16.cranial.height.resids",-0.00959418051481437,-0.0182037313381015,-0.00159597410615396
"point2.11.palatine.height.resids_point14.15.orbit.diameter.resids",-0.00158921805278615,-0.0197275233017941,-0.00150780301737413
"point2.11.palatine.height.resids_point2.18.suspensorium.length.resids",0.00775637879454054,-0.00322361945480422,-0.000707715675981256
"point2.11.palatine.height.resids_point9.10.ascending.proess.length.resids",-0.00434763989104281,-0.00132874412010158,0.00365288230870375
"point2.11.palatine.height.resids_point2.4.opening.inlever.resids",0.0186366995379356,-0.0250366476015628,0.00915367364558138
"point2.11.palatine.height.resids_point12.19.nasal.tissue.protrusion.resids",-0.044017777667827,-0.0207775950381822,0.00319871357952889
"point2.11.palatine.height.resids_point11.14.ectopterygoid.resids",0.0115792633021589,-0.0399817233952599,-0.0159556771128304
"point2.11.palatine.height.resids_point16.18.head.depth.resids",-0.00491737061657489,-0.0203472288131389,-0.000856029433671374
"point2.11.palatine.height.resids_point12.13.maxillary.head.protrusion.resids",0.00804799111434458,-0.0158311254101226,-0.0150005420747267
"point2.11.palatine.height.resids_point6.11.maxilla.length.resids",0.00212905663264669,-0.0314939750383126,0.000933321318363703
"point2.11.palatine.height.resids_point11.13.maxillary.head.height.resids",0.0119912482874813,0.0593161438527073,0.0121483396961742
"point2.11.palatine.height.resids_point17.18.pelvic.girdle.length.resids",-0.0091837483715002,-0.00904375678867959,0.000724877608959362
"point2.3.jaw.closing.inlever.resids_point5.8.dentigerous.arm.width.resids",0.00784072432976431,-0.0449479465622527,0.00643520074493124
"point2.3.jaw.closing.inlever.resids_point7.5.dentigerous.arm.base.resids",-0.0223335121266155,0.183811472396522,-0.0340450640725455
